"id","updatedAt","jobTitle","jobOfferCardTitle","jobOfferCardSalaryList","appealTitle","requiredText","facilityName","facilityAddress","facilityAccess"
"544083","2025-03-03T15:36:31.000+09:00","","しんあいケア センター せたがや事業所の介護職/ヘルパー求人（パート・バイト）","パート・バイト 時給 1,700円 〜 2,110円","【世田谷区上馬】週2日から週5日勤務まで柔軟に対応☆時給高水準！資格と勤務実績に応じて手当支給あり◎得意を活かして活躍しませんか？","介護職員初任者研修（旧ヘルパー2級）以上必須","しんあいケア センター せたがや事業所","上馬5-19-16","東急世田谷線 松陰神社前駅から徒歩で3分
東急世田谷線 世田谷駅から徒歩で7分
東急田園都市線　駒澤大学駅から徒歩17分"
"1174756","2025-03-03T15:34:14.000+09:00","介護職員","ニチイケアセンター中野の介護職員求人","パート・バイト 時給 1,328円 〜 2,148円","【中野区上高田】週1日・1時間～OK！子ども手当や学校行事休暇 等、子育て支援制度充実◎研修制度あり！空いた時間で介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター中野","上高田2-46-6","西武新宿線 新井薬師前駅から徒歩で8分
東京メトロ東西線 中野駅から徒歩で12分
JR中央・総武線 中野駅から徒歩で12分"
"551906","2025-03-03T15:33:49.000+09:00","介護職員","ニチイケアセンター世田谷宇奈根の介護職員求人","正職員 月給 200,570円 〜 238,570円","【世田谷区宇奈根】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎お持ちの資格を活かして働きませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター世田谷宇奈根","宇奈根1-18-6","田園都市線　二子玉川駅より成城学園前行きバス「鎌田バス停」下車　徒歩5分
小田急小田原線　成城学園前駅より二子玉川駅行きバス「鎌田バス停」下車　徒歩5分"
"621762","2025-03-03T15:33:49.000+09:00","介護職員","ニチイケアセンター世田谷宇奈根の介護職員求人","パート・バイト 時給 1,171円 〜 1,621円","【世田谷区宇奈根】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎無資格・未経験からスタートOK！スキルアップしながら介護のお仕事始めませんか？","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士
◆無資格の方もご相談ください！","ニチイケアセンター世田谷宇奈根","宇奈根1-18-6","田園都市線　二子玉川駅より成城学園前行きバス「鎌田バス停」下車　徒歩5分
小田急小田原線　成城学園前駅より二子玉川駅行きバス「鎌田バス停」下車　徒歩5分"
"1034780","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター中目黒の介護職員求人","正職員 月給 228,970円 〜 246,970円","【目黒区東山】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター中目黒","東山1-4-4目","東急東横線 中目黒駅から徒歩で6分
東京メトロ日比谷線 中目黒駅から徒歩で6分
東急東横線 代官山駅から徒歩で11分"
"1034778","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター祐天寺の介護職員求人","正職員 月給 228,970円 〜 246,970円","【目黒区中町】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター祐天寺","中町2-38-9","東急東横線 祐天寺駅から徒歩で6分
東急東横線 中目黒駅から徒歩で14分
東京メトロ日比谷線 中目黒駅から徒歩で14分
"
"1034779","2025-03-03T15:33:38.000+09:00","介護職員","ニチイケアセンター北沢の介護職員求人","正職員 月給 228,970円 〜 246,970円","【世田谷区大原】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター北沢","大原1-23-15","京王線 代田橋駅から徒歩で8分
京王井の頭線 新代田駅から徒歩で7分
京王井の頭線 東松原駅から徒歩で11分"
"1034761","2025-03-03T15:33:35.000+09:00","介護職員","ニチイケアセンター蓮根の介護職員求人","正職員 月給 228,970円 〜 246,970円","【板橋区東坂下】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター蓮根","東坂下2-10-10","都営三田線 蓮根駅から徒歩で10分
都営三田線 志村三丁目駅から徒歩で14分
JR埼京線 浮間舟渡駅から徒歩で14分
"
"1009865","2025-03-03T15:33:32.000+09:00","介護職員","ニチイケアセンター世田谷松原の介護職員求人","正職員 月給 228,970円 〜 246,970円","【世田谷区赤堤】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター世田谷松原","赤堤4-36-19","京王線 下高井戸駅から徒歩で2分
東急世田谷線 下高井戸駅から徒歩で2分
東急世田谷線 松原駅から徒歩で7分
"
"1009862","2025-03-03T15:33:31.000+09:00","介護職員","ニチイケアセンター羽田の介護職員求人","正職員 月給 228,970円 〜 246,970円","【大田区西糀谷】研修制度あり！子ども手当や学校行事休暇 等、子育て支援制度充実◎スキルアップできる介護のお仕事です！","いずれかの資格を保有
・介護職員初任者研修（旧ホームヘルパー2級）
・介護福祉士実務者研修（旧ホームヘルパー講座1級・介護職員基礎研修）
・介護福祉士","ニチイケアセンター羽田","西糀谷3-41-3","京急空港線 大鳥居駅から徒歩で2分
京急空港線 糀谷駅から徒歩で9分
京急空港線 穴守稲荷駅から徒歩で13分"
